logFC	logCPM	PValue	FDR
PdomMRNA02434.1	1.31764043060989	5.77906594089494	3.22426108929095e-06	0.00105210119544402
PdomMRNA07330.1	2.55109138678214	4.07183495714528	3.82023752799846e-06	0.00120040352546441
PdomMRNA09906.1	1.17206659557498	6.44613811848521	5.4407094419794e-06	0.00164853496091976
PdomMRNA07312.1	1.9547846433108	3.68191123404392	6.45907810227936e-06	0.00188961443516338
PdomMRNA03092.1	1.37661845891094	6.67455949698522	6.74106994903438e-06	0.00190637458158692
PdomMRNA03148.1	-1.33715447205996	6.55469783419484	8.19715121861357e-06	0.00221069530934237
PdomMRNA08136.1	3.18302069731136	2.38918983352597	8.33831328370531e-06	0.00221069530934237
PdomMRNA09279.1	2.15364950432841	3.77360504084753	1.02067478222275e-05	0.00262406207647812
PdomMRNA00965.1	-0.939688410177307	6.41092145048105	1.21708005171858e-05	0.00303697269375895
PdomMRNA02023.1	2.13176768613847	6.80997010052019	1.29572899952784e-05	0.00314084709485548
PdomMRNA00238.1	1.04704037597025	5.4185433450548	1.43723659101745e-05	0.00338708756616446
PdomMRNA10180.1	1.37165708965257	4.30583720344951	1.99686915554264e-05	0.00457876700422265
PdomMRNA08174.1	-0.810488736058316	7.57605193119819	2.11171871743224e-05	0.00471468989439345
PdomMRNA01375.1	1.99199467682695	5.84074450940288	2.41923816098204e-05	0.00522525342406978
PdomMRNA00174.1	-1.57322477816759	4.93179368247278	2.46358011507297e-05	0.00522525342406978
PdomMRNA09318.1	-0.755603387269831	5.95671417443024	2.97588792878194e-05	0.00615791053360634
PdomMRNA01127.1	2.12683781447476	4.83318164064215	3.39662798183794e-05	0.00686118852331263
PdomMRNA09893.1	0.987975332067915	5.15422567156508	4.04845823680177e-05	0.00798770225140145
PdomMRNA00644.1	1.66349098514084	3.75727382730706	4.21479342547889e-05	0.00812688805040067
PdomMRNA00200.1	2.33625244696051	6.36124716611891	4.7016759590783e-05	0.00886422640818229
PdomMRNA01911.1	-0.799815303073157	8.31646246074002	5.30833396289118e-05	0.00973789858112121
PdomMRNA00196.1	1.45050390224513	4.79637246773499	5.39463971372816e-05	0.00973789858112121
PdomMRNA00193.1	0.827320424297512	7.10939720719214	5.58943964298524e-05	0.00987933456897642
PdomMRNA05334.1	-0.866425258501318	6.88470087214646	6.17314925367884e-05	0.01042600471481
PdomMRNA06105.1	-2.4687648067998	0.816752221619057	6.20467238917297e-05	0.01042600471481
PdomMRNA01618.1	1.52759122728084	9.32451420256914	6.26740028825211e-05	0.01042600471481
PdomMRNA03733.1	-1.60620028837092	3.22452487320961	6.39859332213916e-05	0.0104395511048132
PdomMRNA00002.1	1.7779200418428	3.1368061126904	7.3817809964696e-05	0.0118164207498204
PdomMRNA03369.1	0.748400917196509	8.29442540706085	7.74134399737379e-05	0.0121625115692073
PdomMRNA01796.1	4.29731721641442	0.878905571268267	0.000105336481914479	0.0162486311374989
PdomMRNA08325.1	-0.623797326854649	11.1620167969759	0.000108590515008705	0.0164514630238188
PdomMRNA05833.1	-1.0730473669392	5.53570841519806	0.000112631873757567	0.0167643652098104
