"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA02342.1"	38752.4	26847.2	27839.5
"PdomMRNA02343.1"	1914.8	1231.8	1039.25
"PdomMRNA02344.1"	2184.2	1506.4	1399.75
"PdomMRNA02345.1"	83	33.2	57.75
"PdomMRNA02346.1"	3869	2440.4	2834.75
"PdomMRNA02347.1"	6409.6	4472.8	5482
"PdomMRNA02348.1"	45	30.4	30.5
"PdomMRNA02349.1"	380.4	264.6	342.25
"PdomMRNA02350.1"	464.8	328.6	301.5
"PdomMRNA02351.1"	23090.8	15691.4	14729.75
"PdomMRNA02352.1"	5758.4	4648.8	4512
"PdomMRNA02353.1"	570	355.2	392.25
"PdomMRNA02354.1"	6141.4	4161.2	4083.5
"PdomMRNA02355.1"	796.4	463.6	484.5
"PdomMRNA02357.1"	575.4	426	402
"PdomMRNA02358.1"	1571.2	822	947.5
"PdomMRNA02359.1"	316.4	308.6	357.25
"PdomMRNA02360.1"	449.8	312.6	185.75
"PdomMRNA02362.1"	168.4	188.2	125
"PdomMRNA02364.1"	2584.6	1980.2	2056.75
"PdomMRNA02365.1"	2011.6	1345.8	1332.5
"PdomMRNA02366.1"	949	518.6	545.75
"PdomMRNA02367.1"	266.4	321.2	248.75
"PdomMRNA02368.1"	8068	5265	4896.5
"PdomMRNA02369.1"	938.8	548.4	607.75
"PdomMRNA02370.1"	8719.8	6867.4	5875
"PdomMRNA02371.1"	6121	4029	3745.25
"PdomMRNA02372.1"	345.4	194.4	242.5
"PdomMRNA02374.1"	83325	52158	48259.25
"PdomMRNA02375.1"	825	69.2	563
"PdomMRNA02376.1"	896.6	670.4	776.25
"PdomMRNA02377.1"	310.4	221.4	259.25
"PdomMRNA02378.1"	1966.6	1350.8	1294
"PdomMRNA02379.1"	1433.2	742.8	667.25
"PdomMRNA02381.1"	1363.6	973.8	1051.5
"PdomMRNA02383.1"	1591.6	859	958.25
"PdomMRNA02384.1"	2717.2	1338.6	1179
"PdomMRNA02385.1"	657.6	426.6	540.5
"PdomMRNA02386.1"	313.8	226.4	247.25
"PdomMRNA02387.1"	609.4	430.8	392
"PdomMRNA02390.1"	45.4	29	50.5
"PdomMRNA02391.1"	128.2	114.2	125
"PdomMRNA02392.1"	177.6	87.8	109.5
"PdomMRNA02393.1"	947	590.6	607.5
"PdomMRNA02394.1"	125.2	57.6	108.5
"PdomMRNA02395.1"	88	46.6	55
"PdomMRNA02396.1"	407.2	229.8	218
"PdomMRNA02399.1"	64683.4	34325.8	40425.75
"PdomMRNA02400.1"	741.8	528.4	415
"PdomMRNA02401.1"	962.8	510.2	492.25
"PdomMRNA02402.1"	543	301.4	403.25
"PdomMRNA02403.1"	2761.8	2060.8	2052.25
"PdomMRNA02404.1"	185.2	159.4	169.25
"PdomMRNA02405.1"	610.4	398.4	347
"PdomMRNA02406.1"	2031.2	1759	1577.25
"PdomMRNA02407.1"	3486.8	2031.6	2172.25
"PdomMRNA02410.1"	95.4	73.4	33.75
"PdomMRNA02411.1"	461.8	349.8	344
"PdomMRNA02412.1"	88.6	94.2	91.25
"PdomMRNA02413.1"	682.6	438.8	402.75
"PdomMRNA02414.1"	2435.6	1062.8	1277.75
"PdomMRNA02415.1"	1229.8	661.2	828.25
"PdomMRNA02416.1"	440.6	256.2	268.5
"PdomMRNA02417.1"	216	171.2	154.5
"PdomMRNA02421.1"	563.4	386.6	361.75
"PdomMRNA02422.1"	6695	3578	4510
"PdomMRNA02423.1"	1026.6	533.2	715
"PdomMRNA02424.1"	665.6	351.2	392
"PdomMRNA02425.1"	481.4	451	419.75
"PdomMRNA02426.1"	94.8	71.2	73.5
"PdomMRNA02428.1"	403.6	297.2	249.25
"PdomMRNA02430.1"	79.2	52.4	69.5
"PdomMRNA02431.1"	61	29.8	35.25
"PdomMRNA02432.1"	179.2	157.6	158
"PdomMRNA02433.1"	40	33.2	32.75
"PdomMRNA02434.1"	739.2	732.6	1199.75
"PdomMRNA02435.1"	2027.2	1253.2	1263.5
"PdomMRNA02437.1"	960	528	527.5
"PdomMRNA02438.1"	812.4	599.6	600.25
"PdomMRNA02439.1"	3145.2	2282.2	2285.25
"PdomMRNA02440.1"	3407.2	2196	2597.5
"PdomMRNA02441.1"	12015.4	6730.4	6675.5
"PdomMRNA02442.1"	1404.4	1108.4	1046.75
"PdomMRNA02445.1"	2586.8	1188.8	1255.25
"PdomMRNA02446.1"	5693.8	4437.8	4139.25
"PdomMRNA02449.1"	874.4	648.2	616.25
"PdomMRNA02450.1"	2386.2	1418.2	1333.75
"PdomMRNA02451.1"	1334.6	821.6	804.25
"PdomMRNA02453.1"	322.6	160.6	110.5
"PdomMRNA02455.1"	673	288	529
"PdomMRNA02456.1"	1633.6	1231.2	1423.75
"PdomMRNA02457.1"	468.8	417.8	426
"PdomMRNA02458.1"	48.6	39.4	59
"PdomMRNA02459.1"	3132	2262	2225.75
"PdomMRNA02460.1"	2723.4	1667.8	1713.75
"PdomMRNA02461.1"	9213.4	7066	6646
"PdomMRNA02464.1"	346	17.4	10.25
"PdomMRNA02468.1"	70.6	76	51
"PdomMRNA02469.1"	3489.6	2359.8	2498
"PdomMRNA02470.1"	2203.2	1748.8	1689
"PdomMRNA02472.1"	1422.6	1060.8	1046.75
"PdomMRNA02473.1"	134.8	40.4	68.5
"PdomMRNA02474.1"	694	445.8	471.75
"PdomMRNA02475.1"	5153.4	3276.4	3046
"PdomMRNA02476.1"	85.2	26.2	38.75
"PdomMRNA02477.1"	6081	4014.8	4541
"PdomMRNA02478.1"	1209.6	861.2	778.25
"PdomMRNA02479.1"	905.2	1114.4	674.75
"PdomMRNA02481.1"	317.6	141.6	151.5
"PdomMRNA02484.1"	593.4	385	416.75
"PdomMRNA02485.1"	1046.6	595.6	635
"PdomMRNA02486.1"	5546.8	3568.8	3523.25
"PdomMRNA02487.1"	6585.2	3756.6	4709.25
"PdomMRNA02490.1"	1781.2	992	1075.5
"PdomMRNA02491.1"	4402.8	4097.6	3031.5
"PdomMRNA02492.1"	4895.8	3300.8	3464.25
"PdomMRNA02493.1"	2391.2	1429.8	1555
"PdomMRNA02494.1"	53.8	48.8	48
"PdomMRNA02497.1"	1252	898.2	1032.75
"PdomMRNA02498.1"	657	585.4	549.75
"PdomMRNA02499.1"	796.8	459.4	467.25
"PdomMRNA02500.1"	3599.2	1882	1934.25
"PdomMRNA02501.1"	1426.2	1282.6	1090.25
"PdomMRNA02502.1"	1235.8	815.6	867.25
"PdomMRNA02503.1"	1611.6	965.2	1010.25
"PdomMRNA02504.1"	5275.8	2987.2	3486.25
"PdomMRNA02505.1"	1388.8	936.2	1036.75
"PdomMRNA02506.1"	3221	2228.2	2065.5
"PdomMRNA02507.1"	1682.8	1083.2	1355.25
"PdomMRNA02508.1"	1205.4	840.6	813.5
"PdomMRNA02509.1"	294.8	151.6	170.75
"PdomMRNA02510.1"	1526	1363.6	1157.75
"PdomMRNA02511.1"	4872.6	2315.8	2910
"PdomMRNA02512.1"	1023.8	841.6	864
"PdomMRNA02513.1"	14411.6	7182.4	8526.75
"PdomMRNA02514.1"	1918.4	1426	1302
"PdomMRNA02515.1"	4651	3405.6	3812
"PdomMRNA02516.1"	7278.8	3949.6	4834.75
"PdomMRNA02517.1"	3771.2	2279	2267
"PdomMRNA02518.1"	2701.8	2163.8	2152.75
"PdomMRNA02519.1"	2648.6	1887.8	1867
"PdomMRNA02520.1"	6013.4	4546.6	4824.5
"PdomMRNA02521.1"	3458	3347.2	2709.75
"PdomMRNA02522.1"	769.4	449	580.5
"PdomMRNA02523.1"	3546.8	1773	2251.75
"PdomMRNA02528.1"	2552.6	1945.4	1773.5
"PdomMRNA02529.1"	774.6	589	541.25
"PdomMRNA02530.1"	2387.8	1649.2	1691
"PdomMRNA02532.1"	544.4	175.6	165.5
"PdomMRNA02533.1"	99	30.8	50.5
"PdomMRNA02535.1"	1146	760.8	680.75
"PdomMRNA02536.1"	1195.2	824.4	807.25
"PdomMRNA02538.1"	913.2	564.4	554.75
"PdomMRNA02539.1"	264.2	125.4	147.75
"PdomMRNA02543.1"	76	10	35.75
"PdomMRNA02544.1"	388.4	347	227.25
"PdomMRNA02545.1"	938.4	458.2	502.5
"PdomMRNA02545.2"	547.4	418.2	347
"PdomMRNA02551.1"	1401.2	849	904.25
"PdomMRNA02552.1"	1175.6	834.8	798.75
"PdomMRNA02553.1"	57	33.2	48.75
"PdomMRNA02554.1"	388.4	333	281.5
"PdomMRNA02555.1"	255.2	260.6	288.25
"PdomMRNA02556.1"	196.2	164.4	208.75
"PdomMRNA02557.1"	1393.8	970.8	969
"PdomMRNA02558.1"	2347.4	1616	1482
"PdomMRNA02560.1"	3221	2470.2	2369
"PdomMRNA02561.1"	805	393.4	540.5
"PdomMRNA02563.1"	466.4	354.4	407.75
"PdomMRNA02564.1"	2485.6	1849	1828
"PdomMRNA02565.1"	1287.2	937.6	867.75
"PdomMRNA02566.1"	3117.8	1823.2	1704.5
"PdomMRNA02567.1"	191	129.4	118.75
"PdomMRNA02568.1"	3494.8	1941	2151.5
"PdomMRNA02569.1"	1073.6	742.6	819.75
"PdomMRNA02570.1"	50.8	42.2	41.75
"PdomMRNA02571.1"	6640	4316.6	3579.75
"PdomMRNA02572.1"	1565.6	871.6	888.5
"PdomMRNA02573.1"	290.4	231.2	198.75
"PdomMRNA02574.1"	10966.4	6942.6	6497.25
"PdomMRNA02575.1"	650.2	426	341.5
"PdomMRNA02576.1"	4658.2	2093	3034.75
"PdomMRNA02577.1"	248.6	148.4	159.25
"PdomMRNA02578.1"	128.4	70.8	73
"PdomMRNA02579.1"	1600.2	1046.6	1161.25
"PdomMRNA02582.1"	2651.8	1672.6	1539.75
"PdomMRNA02583.1"	1774.2	1020	926.75
"PdomMRNA02584.1"	734.8	521.6	526.75
"PdomMRNA02585.1"	39.4	137.8	57
"PdomMRNA02586.1"	6043.8	5085.6	4273.25
"PdomMRNA02587.1"	276.2	191.8	137
"PdomMRNA02588.1"	817	732.6	583.75
"PdomMRNA02589.1"	161.8	115	132.25
"PdomMRNA02592.1"	530.2	225.4	203.75
"PdomMRNA02595.1"	272.8	173.2	220.75
"PdomMRNA02596.1"	474.6	244.6	298
"PdomMRNA02597.1"	2034.6	1406	1429.75
"PdomMRNA02599.1"	12718.8	7290.4	6978.5
"PdomMRNA02600.1"	61	59.8	55.75
"PdomMRNA02601.1"	2376.4	1789.2	1601
"PdomMRNA02604.1"	621	432.4	550.5
"PdomMRNA02605.1"	2117.4	1606.8	1607
"PdomMRNA02606.1"	11663.2	7714.4	7765.75
"PdomMRNA02607.1"	16652	10439.6	9631.25
"PdomMRNA02608.1"	2271.8	1449.6	1338.75
"PdomMRNA02608.2"	291	167.2	227.5
"PdomMRNA02609.1"	2008.8	1440.8	1408
"PdomMRNA02611.1"	109	78	52.75
"PdomMRNA02612.1"	3274	1919	2427.5
"PdomMRNA02613.1"	125.6	96.2	78
"PdomMRNA02614.1"	125.2	92.6	95.75
"PdomMRNA02615.1"	259.4	91.2	128.5
"PdomMRNA02618.1"	1366.6	843	825.5
"PdomMRNA02619.1"	2071.8	1592.2	1421.5
"PdomMRNA02620.1"	8884	5137.6	5696.5
"PdomMRNA02622.1"	2417.8	1479	1603.75
"PdomMRNA02625.1"	324.6	208	227
"PdomMRNA02630.1"	107.4	107.4	84.25
"PdomMRNA02634.1"	416.8	274.6	259
"PdomMRNA02635.1"	206.8	170.6	242.25
"PdomMRNA02638.1"	404	214.2	192.5
"PdomMRNA02639.1"	100.2	29.4	102.25
"PdomMRNA02648.1"	109.8	89.4	104.5
"PdomMRNA02651.1"	411.2	349	310.25
"PdomMRNA02652.1"	335.8	161.2	195.25
"PdomMRNA02653.1"	249.8	231.2	263.5
"PdomMRNA02654.1"	4365.6	2614.6	2844.75
"PdomMRNA02655.1"	123	92	151.5
"PdomMRNA02656.1"	8296	5613.8	5721
"PdomMRNA02656.2"	132	48.4	70.75
"PdomMRNA02658.1"	87.2	53	60.75
"PdomMRNA02659.1"	47.6	33.6	37
"PdomMRNA02660.1"	454.2	313.2	324.75
"PdomMRNA02661.1"	434	238.6	308.25
"PdomMRNA02662.1"	1535.2	1012.6	1051.75
"PdomMRNA02663.1"	2979.2	1648.8	2366
"PdomMRNA02664.1"	3632.4	2520.4	2342.25
"PdomMRNA02665.1"	121.2	71.8	55
"PdomMRNA02666.1"	71.6	34.8	33
"PdomMRNA02668.1"	605.4	392.6	432
"PdomMRNA02669.1"	656.6	354.8	319
"PdomMRNA02670.1"	5175.2	2896.8	3170.75
"PdomMRNA02676.1"	597.4	371	404.5
"PdomMRNA02677.1"	5553.8	3058.6	4196.75
"PdomMRNA02678.1"	2429	1311.2	1724.75
"PdomMRNA02679.1"	6771.4	4213.4	4292
"PdomMRNA02680.1"	1746.6	1066.8	1237.5
"PdomMRNA02681.1"	2242.4	1713.6	1576.25
"PdomMRNA02682.1"	2727.6	1394.4	1738.25
"PdomMRNA02683.1"	642.2	575.2	513
"PdomMRNA02684.1"	1888.8	1470	1372.75
"PdomMRNA02685.1"	493.2	651.6	858
"PdomMRNA02686.1"	1255.2	801	832.75
"PdomMRNA02687.1"	9266	6396.4	6497.5
"PdomMRNA02688.1"	4565.2	2953.2	3102
"PdomMRNA02689.1"	1206.4	786.2	716
"PdomMRNA02690.1"	5870.8	3811.4	3890
"PdomMRNA02692.1"	1960.4	1331.4	1339.5
"PdomMRNA02693.1"	304.8	246.8	252.75
"PdomMRNA02694.1"	587.8	507.6	438.25
"PdomMRNA02696.1"	1812.2	1164.2	1314
"PdomMRNA02697.1"	52.4	44.2	247.25
"PdomMRNA02698.1"	16115.4	7484.2	9415
"PdomMRNA02700.1"	794.8	579.6	764
"PdomMRNA02701.1"	706.8	489	415.5
"PdomMRNA02702.2"	240	130.6	102
"PdomMRNA02703.1"	197.6	157.4	139.25
"PdomMRNA02704.1"	178.2	178.8	169.5
"PdomMRNA02705.1"	1167	961.4	939.75
"PdomMRNA02706.1"	19.2	24.8	32.25
"PdomMRNA02707.1"	536.2	297.4	386.25
"PdomMRNA02708.1"	9509	6355.8	7487.5
"PdomMRNA02709.1"	1605.2	976	892.75
"PdomMRNA02710.1"	613.2	401.4	427.25
"PdomMRNA02711.1"	386	277.4	208.75
"PdomMRNA02712.1"	1043.2	737.8	667.5
"PdomMRNA02713.1"	1566.6	909	1051.5
"PdomMRNA02714.1"	4795.8	2965.4	3308.75
"PdomMRNA02716.1"	1728.4	1118.2	1246
"PdomMRNA02717.1"	437.4	182.2	210.5
"PdomMRNA02718.1"	5736.8	3746	3958.5
"PdomMRNA02719.1"	437.2	187.8	262.75
"PdomMRNA02720.1"	1874.2	1554.4	1320
"PdomMRNA02721.1"	67.6	75.8	69.25
"PdomMRNA02722.1"	5231.8	3010.4	3725.5
"PdomMRNA02723.1"	320	278.8	243
"PdomMRNA02724.1"	2678.4	1597.2	1516
"PdomMRNA02725.1"	270.4	117.2	116.75
"PdomMRNA02726.1"	1201.8	939.6	849
"PdomMRNA02727.1"	1092.6	622.6	590.25
"PdomMRNA02728.1"	3009.2	2288.4	2306
"PdomMRNA02730.1"	1099.2	728	625.5
"PdomMRNA02732.1"	739.6	533	469.25
"PdomMRNA02733.1"	1556.8	987.2	1020.5
"PdomMRNA02734.1"	1084	948	817
"PdomMRNA02735.1"	4770.8	3770.8	3915
"PdomMRNA02736.1"	97.8	39.2	20.5
"PdomMRNA02737.1"	2913.4	1853.6	2150.75
"PdomMRNA02738.1"	66.6	78.8	88
"PdomMRNA02739.1"	440.2	347.6	344.25
"PdomMRNA02740.1"	409	346	325.75
"PdomMRNA02741.1"	25804.8	16366.8	17796.25
"PdomMRNA02742.1"	1362.6	850.8	895.5
"PdomMRNA02744.1"	971.4	731.2	872.5
"PdomMRNA02745.1"	858.4	952	757.25
"PdomMRNA02746.1"	450	478.2	422.25
"PdomMRNA02747.1"	5840.4	4054.4	4379.25
"PdomMRNA02748.1"	3686.4	2158.4	2212.25
"PdomMRNA02749.1"	930.2	901	803.5
"PdomMRNA02750.1"	5512	4303	4075.75
"PdomMRNA02751.1"	107.6	97.6	75
"PdomMRNA02752.1"	1314.6	1240	1053.5
"PdomMRNA02753.1"	637.2	455.8	428.25
"PdomMRNA02754.1"	639.4	370.4	391.5
"PdomMRNA02755.1"	805	537.2	593.75
"PdomMRNA02756.1"	210.6	161.4	187.25
"PdomMRNA02758.1"	824.4	507.6	606.5
"PdomMRNA02760.1"	98.2	63.8	69.25
"PdomMRNA02761.1"	4539.8	3305.4	3291.75
"PdomMRNA02762.1"	2109.8	1153	1181.25
"PdomMRNA02763.1"	80.4	51	49
"PdomMRNA02765.1"	1987.4	1280.2	1210.25
"PdomMRNA02767.1"	2792.8	1901	2044.75
"PdomMRNA02769.1"	1895.4	1325.6	1256.5
"PdomMRNA02770.1"	2765.8	1859.6	1813.75
"PdomMRNA02771.1"	1830	1277.6	1057.25
"PdomMRNA02772.1"	825.2	713.4	691.75
"PdomMRNA02773.1"	2569.8	1183.6	1697.75
"PdomMRNA02774.1"	731.6	390	421.5
"PdomMRNA02775.1"	426	328.8	279.75
"PdomMRNA02776.1"	1086.2	781.2	805.5
"PdomMRNA02777.1"	130.4	91.4	81.5
"PdomMRNA02778.1"	1885.2	1126.6	1098.5
"PdomMRNA02780.1"	1026.6	681.2	750.5
"PdomMRNA02781.1"	518.4	345.8	263.5
"PdomMRNA02782.1"	1920.6	1232.2	1156.25
"PdomMRNA02783.1"	344.4	289.2	302.25
"PdomMRNA02785.1"	178.6	94.4	101.5
"PdomMRNA02786.1"	557.2	327.8	326
"PdomMRNA02787.1"	608.8	407.6	524.5
"PdomMRNA02788.1"	4972.6	2742.4	3059.75
"PdomMRNA02789.1"	228	155.8	180
"PdomMRNA02790.1"	1555.2	1102	1069.5
"PdomMRNA02791.1"	5537.4	3176	3725.75
"PdomMRNA02792.1"	5913.8	4045.2	3710.5
"PdomMRNA02793.1"	997.6	479.4	516.25
"PdomMRNA02794.1"	3001.2	2647.6	2414.25
"PdomMRNA02795.1"	346	227.2	275
"PdomMRNA02796.1"	635.2	431.6	437
"PdomMRNA02798.1"	103	97.8	72.75
"PdomMRNA02800.1"	10168.6	6167	7181.25
"PdomMRNA02801.1"	336	379	292
"PdomMRNA02802.1"	10223.2	5996.6	6047.75
"PdomMRNA02803.1"	421.6	288.2	250.5
"PdomMRNA02804.1"	592.6	543.6	510.5
"PdomMRNA02805.1"	8568.8	5846.2	5429
"PdomMRNA02806.1"	145.2	105.4	141.5
"PdomMRNA02808.1"	1417	935	971.75
"PdomMRNA02809.1"	765	619.4	568.25
"PdomMRNA02810.1"	131.2	68.6	83.25
"PdomMRNA02811.1"	114.6	79.6	70.75
"PdomMRNA02813.1"	607.8	488.2	440.5
"PdomMRNA02814.1"	255.2	161.4	177.5
"PdomMRNA02815.1"	2445.6	1302.8	1414
"PdomMRNA02816.1"	434.2	343	297
"PdomMRNA02817.1"	706	519.2	489.5
"PdomMRNA02819.1"	418.6	290.8	313.25
"PdomMRNA02822.1"	346.6	177.6	209.25
"PdomMRNA02823.1"	655.4	482	414.5
"PdomMRNA02828.1"	778.8	543.8	517
"PdomMRNA02832.1"	870	583.4	651.25
"PdomMRNA02833.1"	831.6	474	657.5
"PdomMRNA02834.1"	2116.4	1411	1406.75
"PdomMRNA02835.1"	354.6	248.4	256.75
"PdomMRNA02840.1"	844.2	538	449.5
"PdomMRNA02841.1"	930.8	575.2	613.25
"PdomMRNA02842.1"	1258.2	827.2	784
"PdomMRNA02843.1"	2121.6	1240.8	1356
"PdomMRNA02844.1"	188.2	142.4	159.5
"PdomMRNA02845.1"	3805	2751.4	2837.5
"PdomMRNA02846.1"	262.4	134.2	194.5
"PdomMRNA02848.1"	1706	1103.6	1153
"PdomMRNA02849.1"	1744.6	1491.6	1481
"PdomMRNA02850.1"	2946.4	2520.2	2471
"PdomMRNA02852.1"	601	410.4	464.5
"PdomMRNA02853.1"	1199	692.6	757.25
"PdomMRNA02854.1"	7777.2	3479.8	4317.75
"PdomMRNA02855.1"	269.4	265.8	208.5
"PdomMRNA02856.1"	29	33	41.75
"PdomMRNA02857.1"	19514.6	12148.6	12747.5
"PdomMRNA02858.1"	511.2	330	360.25
"PdomMRNA02859.1"	673.2	520.6	502.5
"PdomMRNA02860.1"	18752	10130	11311
"PdomMRNA02861.1"	366.4	205.4	285.5
"PdomMRNA02862.1"	171.2	135.8	143.25
"PdomMRNA02863.1"	1723.6	948.8	918.25
"PdomMRNA02865.1"	230	177.6	177
"PdomMRNA02867.1"	642.8	351	424.75
"PdomMRNA02868.1"	3424.2	2709.8	2549.25
"PdomMRNA02869.1"	3733.8	2606.6	2638.5
"PdomMRNA02870.1"	5988.6	3659	3462
"PdomMRNA02871.1"	3281.4	1904.4	2188.5
"PdomMRNA02872.1"	36.2	42.6	46
"PdomMRNA02873.1"	385.4	271.8	315
"PdomMRNA02874.1"	6864.2	4800	4564.5
"PdomMRNA02875.1"	58.6	47.2	27.25
"PdomMRNA02876.1"	119	80	69.75
"PdomMRNA02877.1"	58.2	55	57.5
"PdomMRNA02878.1"	172.6	83.6	72
"PdomMRNA02879.1"	2585.2	2585	2224
"PdomMRNA02880.1"	1845.4	1116.4	1379.5
"PdomMRNA02881.1"	11444.8	6973.6	6356.5
"PdomMRNA02883.1"	804.2	677	583.25
"PdomMRNA02884.1"	504	331.8	259.5
"PdomMRNA02885.1"	359.8	264.2	279.25
"PdomMRNA02886.1"	602.8	414.8	407.5
"PdomMRNA02887.1"	1783.2	1246.2	1298.5
"PdomMRNA02888.1"	978.2	550.2	479.75
"PdomMRNA02892.1"	180.4	113	130
"PdomMRNA02893.1"	71.4	244	160.75
"PdomMRNA02894.1"	11.6	76	48.5
"PdomMRNA02895.1"	348.6	205	212.25
"PdomMRNA02896.1"	852.6	528.2	578.75
"PdomMRNA02898.1"	920	497.4	551
"PdomMRNA02900.1"	637	442.8	444.5
"PdomMRNA02901.1"	1658.2	1419.8	1075.25
"PdomMRNA02902.1"	1303	887.6	1138.25
"PdomMRNA02903.1"	2057.6	1603.4	1412.75
"PdomMRNA02904.1"	1199	803.6	762
"PdomMRNA02905.1"	2948	2118.4	2019
"PdomMRNA02906.1"	885.2	603.4	626.75
"PdomMRNA02907.1"	131.8	93.6	109.75
"PdomMRNA02908.1"	773.8	563.2	678.25
"PdomMRNA02909.1"	129.2	81.8	128.5
"PdomMRNA02910.1"	3463.4	1586.4	2058.5
"PdomMRNA02911.1"	6653.6	3532.8	4194.25
"PdomMRNA02913.1"	853.6	529	561.75
"PdomMRNA02914.1"	1813.8	1523.6	1582.5
"PdomMRNA02914.2"	119.2	125.8	103.75
"PdomMRNA02915.1"	3269.6	2180.8	2324
"PdomMRNA02916.1"	914.4	538.4	516
"PdomMRNA02917.1"	1235.4	849.8	980
"PdomMRNA02919.1"	201.8	14.2	105.25
"PdomMRNA02920.1"	1331.2	853.8	925.25
"PdomMRNA02921.1"	1072.8	804.8	735.75
"PdomMRNA02922.1"	1358.8	864.6	876.25
"PdomMRNA02923.1"	926.8	739.4	738.75
"PdomMRNA02924.1"	1524.8	1201.8	1244.25
"PdomMRNA02925.1"	10405.8	4533.6	5364.75
"PdomMRNA02926.1"	751.8	455.2	536
"PdomMRNA02929.1"	418.4	390.8	393.75
"PdomMRNA02930.1"	1855.8	1494	1422.25
"PdomMRNA02931.1"	11964	11707.8	10240.75
"PdomMRNA02932.1"	178.4	104.4	91.5
"PdomMRNA02934.1"	5513.6	4148	3932.75
"PdomMRNA02935.1"	543.6	470.8	430.75
"PdomMRNA02936.1"	1930.6	1816.6	1719.25
"PdomMRNA02937.1"	4492.2	4666.8	3911.25
"PdomMRNA02938.1"	3564	3874.8	2817.5
"PdomMRNA02940.1"	396.8	540	421.5
"PdomMRNA02941.1"	41	26.8	34.5
"PdomMRNA02942.1"	289.6	249	195.25
"PdomMRNA02944.1"	398.4	190.4	195.75
"PdomMRNA02945.1"	455.8	225.8	222.5
"PdomMRNA02947.1"	1859.4	1771	1858.75
"PdomMRNA02948.1"	2346	1789.4	1647.75
"PdomMRNA02949.1"	1376.8	1007.4	900
"PdomMRNA02950.1"	7425.6	4768.4	3398
"PdomMRNA02951.1"	126.6	48.8	100.5
"PdomMRNA02952.1"	7528.4	5035	5668.75
"PdomMRNA02953.1"	11865.2	10895.6	7783.5
"PdomMRNA02954.1"	1641	1546.8	1390.5
"PdomMRNA02955.1"	8550	5820.8	5536.25
"PdomMRNA02956.1"	1611.4	1012.6	1077.75
"PdomMRNA02958.1"	2049.2	1483	1605.25
"PdomMRNA02959.1"	1725.6	1264.6	1320.5
"PdomMRNA02960.1"	1125	774.4	967.5
"PdomMRNA02961.1"	928.4	887.4	678
"PdomMRNA02962.1"	2528.2	1595.6	1875
"PdomMRNA02963.1"	103.4	67	78.25
"PdomMRNA02964.1"	14103.6	8210	8775.5
"PdomMRNA02965.1"	550.2	373.6	375.75
"PdomMRNA02967.1"	742.8	513	499
"PdomMRNA02968.1"	439.4	249.2	251.5
"PdomMRNA02971.1"	161	101.2	102.5
"PdomMRNA02972.1"	784.6	508.2	473.5
"PdomMRNA02973.1"	635.8	462.6	453.25
"PdomMRNA02974.1"	4723.6	2947.4	3102.75
"PdomMRNA02975.1"	38.2	37	25.25
"PdomMRNA02977.1"	450	440.2	381.25
"PdomMRNA02978.1"	69.6	83	71.5
"PdomMRNA02979.1"	4155.6	1625.4	1796.75
"PdomMRNA02980.1"	2143.2	1570.2	1572.75
"PdomMRNA02981.1"	598.6	374.6	300.5
"PdomMRNA02982.1"	6324.4	3846.6	3846.75
"PdomMRNA02983.1"	76	54.6	65
"PdomMRNA02985.1"	4587.2	3075.4	3128
"PdomMRNA02986.1"	772.6	671	575.25
"PdomMRNA02987.1"	65.4	91.4	65.5
"PdomMRNA02988.1"	1915.4	1434	1321.5
"PdomMRNA02990.1"	890.6	556	578.75
"PdomMRNA02991.1"	7066	4090.4	4342.75
"PdomMRNA02993.1"	924	538.2	447
"PdomMRNA02994.1"	911.4	585	688.75
"PdomMRNA02995.1"	2671.6	1352.6	1330.5
"PdomMRNA02996.1"	53	33.8	27.5
"PdomMRNA02997.1"	91.2	82.2	100.25
"PdomMRNA02998.1"	839.2	604.2	753.5
"PdomMRNA02999.1"	60	172.2	186.25
"PdomMRNA03000.1"	3082.6	2313.6	2487.5
"PdomMRNA03001.1"	743.8	451.2	480.5
"PdomMRNA03002.1"	176.8	136	147
"PdomMRNA03003.1"	922	613	560.75
"PdomMRNA03004.1"	356.4	183.4	207.25
"PdomMRNA03006.1"	384.2	229.6	299.25
"PdomMRNA03007.1"	572.8	388	377.5
"PdomMRNA03008.1"	1149.6	741.8	799.75
"PdomMRNA03010.1"	36.8	44.6	59.75
"PdomMRNA03013.1"	73.2	10	33
"PdomMRNA03014.1"	991	924.2	688.25
"PdomMRNA03015.1"	277.8	150.8	182.25
"PdomMRNA03017.1"	646.6	536.8	427
"PdomMRNA03032.1"	6938	3711.8	4418.75
"PdomMRNA03033.1"	1915.4	1184.6	1243
"PdomMRNA03034.1"	2731.6	1685.8	2001.75
"PdomMRNA03036.1"	181.8	127	117.75
"PdomMRNA03037.1"	1736	885.6	984.5
"PdomMRNA03039.1"	1652.2	1346.2	1324.25
"PdomMRNA03040.1"	123.6	52	78.5
"PdomMRNA03042.1"	78	63.8	88.5
"PdomMRNA03043.1"	240.4	178.2	175.5
"PdomMRNA03044.1"	6143.4	4591.4	4248.25
"PdomMRNA03045.1"	91	28.6	60.5
"PdomMRNA03046.1"	2775.8	1879.6	1905.75
"PdomMRNA03049.1"	281.2	132.2	173.5
"PdomMRNA03050.1"	998.8	513	567.5
"PdomMRNA03051.1"	3480	2937.4	3010.5
