"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA00059.1"	549.4	520.2	550.5
"PdomMRNA00060.1"	686.4	509.6	435.5
"PdomMRNA00061.1"	77.6	41.4	35.75
"PdomMRNA00062.1"	481.2	246.2	275.75
"PdomMRNA00064.1"	583	381.2	342
"PdomMRNA00065.1"	88.2	49.2	60
"PdomMRNA00066.1"	212.4	173.8	143.75
"PdomMRNA00067.1"	1206.6	623.4	582.75
"PdomMRNA00070.1"	3639.2	2604.4	2879.5
"PdomMRNA00071.1"	1554.6	773.2	924.75
"PdomMRNA00072.1"	1405.4	919.8	909.75
"PdomMRNA00073.1"	5672	3423	3547.5
"PdomMRNA00074.1"	9299.4	2990.4	4250.75
"PdomMRNA00075.1"	6083.8	3391.6	4222.25
"PdomMRNA00076.1"	817.8	514.6	590.5
"PdomMRNA00077.1"	453.4	189.2	163.5
"PdomMRNA00078.1"	2542.4	1513	1605
"PdomMRNA00079.1"	3496.2	2320	2476.75
"PdomMRNA00080.1"	1650.4	1153.2	1104
"PdomMRNA00084.1"	280.8	184.2	182.5
"PdomMRNA00085.1"	477.4	329.2	308.5
"PdomMRNA00086.1"	135.6	72	74
"PdomMRNA00087.1"	1256.6	730	904.25
"PdomMRNA00088.1"	5623.8	3373.6	3572.5
"PdomMRNA00089.1"	2213	1062.8	1381.25
"PdomMRNA00090.1"	6641	5404.8	5490.25
"PdomMRNA00091.1"	481.2	226.4	362.25
"PdomMRNA00092.1"	422.6	222.8	251.75
"PdomMRNA00093.1"	6686.6	5310	5054.25
"PdomMRNA00094.1"	88.2	37.6	87
"PdomMRNA00095.1"	561.8	441.6	553.75
"PdomMRNA00096.1"	1550.2	698.8	758
"PdomMRNA00097.1"	1456.4	662.6	818.75
"PdomMRNA00098.1"	1383.6	1184.2	1075.5
"PdomMRNA00102.1"	89.8	44.4	95.5
"PdomMRNA00103.1"	1480.2	890	882.75
"PdomMRNA00104.1"	949.4	524.8	470
"PdomMRNA00106.1"	789.8	488.4	458
"PdomMRNA00107.1"	604.2	419	536.25
"PdomMRNA00108.1"	60.6	36.6	29.25
"PdomMRNA00109.1"	421.2	236.8	242
"PdomMRNA00110.1"	765.4	516.6	528.5
"PdomMRNA00114.1"	1541.4	1034.8	830.25
"PdomMRNA00115.1"	1816.6	1132	1237.75
"PdomMRNA00116.1"	5660.2	4121.4	3898.75
"PdomMRNA00118.1"	1452	1033	967
"PdomMRNA00119.1"	12941.6	8498	9322.5
"PdomMRNA00120.1"	147.6	103.6	88.5
"PdomMRNA00121.1"	3864.2	2427.2	2995.5
"PdomMRNA00122.1"	217.2	198.8	140
"PdomMRNA00123.1"	676.6	956.4	822.25
"PdomMRNA00125.1"	964.6	407	489.25
"PdomMRNA00126.1"	1719	1328.4	1343.75
"PdomMRNA00127.1"	379.6	267.2	229.5
"PdomMRNA00128.1"	9222.8	6246.8	6395
"PdomMRNA00130.1"	5577.4	1722	2078.75
"PdomMRNA00132.1"	382.4	169.8	260.5
"PdomMRNA00133.1"	996.8	699.8	717.25
"PdomMRNA00134.1"	400	224.2	330.75
"PdomMRNA00135.1"	154.6	76.2	85.25
"PdomMRNA00136.1"	101.6	91	83.25
"PdomMRNA00139.1"	47.8	34.6	31
"PdomMRNA00143.1"	107.4	128.2	128
"PdomMRNA00144.1"	171.8	74.6	84.75
"PdomMRNA00145.1"	1136.4	803	755.25
"PdomMRNA00146.1"	163.2	139.2	147
"PdomMRNA00146.2"	488.4	417.4	369
"PdomMRNA00147.1"	24.2	41	33.75
"PdomMRNA00150.1"	331.6	158.6	245.25
"PdomMRNA00152.1"	1557.6	814.4	898.25
"PdomMRNA00153.1"	980	906	773
"PdomMRNA00154.1"	1511.2	790.2	828
"PdomMRNA00155.1"	102.2	107.8	69.25
"PdomMRNA00156.1"	1352.8	921.8	946.5
